Date,Open,High,Low,Close,Volume
17-Mar-22,830.99,875,825.72,871.6,"22,194,324"
18-Mar-22,874.49,907.85,867.39,905.39,"33,471,397"
21-Mar-22,914.98,942.85,907.09,921.16,"27,327,216"
22-Mar-22,930,997.86,921.75,993.98,"35,289,519"
23-Mar-22,979.94,"1,040.70",976.4,999.11,"40,225,383"
24-Mar-22,"1,009.73","1,024.49",988.8,"1,013.92","22,973,626"
25-Mar-22,"1,008.00","1,021.80",997.32,"1,010.64","20,677,182"
28-Mar-22,"1,065.10","1,097.88","1,053.60","1,091.84","34,168,693"
29-Mar-22,"1,107.99","1,114.77","1,073.11","1,099.57","24,538,273"
30-Mar-22,"1,091.17","1,113.95","1,084.00","1,093.99","19,955,002"
31-Mar-22,"1,094.57","1,103.14","1,076.64","1,077.60","16,330,919"
1-Apr-22,"1,081.15","1,094.75","1,066.64","1,084.59","18,087,741"
4-Apr-22,"1,089.38","1,149.91","1,072.53","1,145.45","27,392,567"
5-Apr-22,"1,136.30","1,152.87","1,087.30","1,091.26","26,691,673"
6-Apr-22,"1,073.47","1,079.00","1,027.70","1,045.76","29,782,845"
7-Apr-22,"1,052.39","1,076.59","1,021.54","1,057.26","26,482,353"
8-Apr-22,"1,043.21","1,048.44","1,022.44","1,025.49","18,337,896"
11-Apr-22,980.4,"1,008.47",974.64,975.93,"19,785,735"
12-Apr-22,997.64,"1,021.19",976.6,986.95,"21,992,032"
13-Apr-22,981.08,"1,026.24",973.1,"1,022.37","18,373,737"
14-Apr-22,999.29,"1,012.71",982.19,985,"19,474,135"
18-Apr-22,989.03,"1,014.92",973.41,"1,004.29","17,238,407"
19-Apr-22,"1,005.06","1,034.94",995.33,"1,028.15","16,615,944"
20-Apr-22,"1,030.00","1,034.00",975.25,977.2,"23,570,442"
21-Apr-22,"1,074.73","1,092.22",996.42,"1,008.78","35,138,779"
22-Apr-22,"1,014.91","1,034.85",994,"1,005.05","23,232,186"
25-Apr-22,978.97,"1,008.62",975.3,998.02,"22,780,445"
26-Apr-22,995.43,"1,000.00",875,876.42,"45,377,889"
27-Apr-22,898.58,918,877.36,881.51,"25,652,132"
28-Apr-22,899.98,900,821.7,877.51,"41,649,509"
29-Apr-22,902.25,934.4,870,870.76,"29,377,665"
2-May-22,860.77,906.36,848.03,902.94,"25,260,457"
3-May-22,903.18,924.08,888.59,909.25,"21,236,525"
4-May-22,903.94,955.5,885.28,952.62,"27,214,568"
5-May-22,939.21,945.6,857.7,873.28,"30,839,731"
6-May-22,887,888,843.11,865.65,"24,301,037"
9-May-22,836.45,845.63,781.15,787.11,"30,270,074"
10-May-22,819.31,825.36,774.25,800.04,"28,133,877"
11-May-22,795,809.77,727.2,734,"32,408,153"
12-May-22,701,759.66,680,728,"46,770,954"
13-May-22,773.48,787.35,751.57,769.59,"30,716,908"
16-May-22,767.16,769.76,719.09,724.37,"28,699,513"
17-May-22,747.36,764.48,728.85,761.61,"26,745,370"
18-May-22,744.52,760.5,700.81,709.81,"29,270,604"
19-May-22,707,734,694.11,709.42,"30,098,891"
20-May-22,713.99,721.58,633,663.9,"48,324,435"
23-May-22,655.02,679.96,638.06,674.9,"29,634,546"
24-May-22,653.53,653.92,620.57,628.16,"29,697,505"
25-May-22,623.85,669.32,623.01,658.8,"30,713,108"
26-May-22,661.42,718.67,653.66,707.73,"35,334,448"
27-May-22,723.25,759.8,720.53,759.63,"29,764,994"
31-May-22,773.84,778.8,734.23,758.26,"33,971,457"
1-Jun-22,755.16,771.98,730.92,740.37,"25,749,321"
2-Jun-22,732.47,792.63,726.2,775,"31,157,706"
3-Jun-22,729.68,743.39,700.25,703.55,"37,464,579"
6-Jun-22,733.06,734.6,703.05,714.84,"28,068,174"
7-Jun-22,702,719.99,690.28,716.66,"24,269,534"
8-Jun-22,720.26,749.89,717.53,725.6,"25,403,540"
9-Jun-22,748.02,766.64,717.98,719.12,"32,163,769"
10-Jun-22,705.47,718.5,683.74,696.69,"32,696,966"
13-Jun-22,669.5,679.9,644.05,647.21,"34,255,754"
14-Jun-22,654.86,678.99,635.21,662.67,"32,662,932"
15-Jun-22,662.75,706.99,654.45,699,"39,710,645"
16-Jun-22,668.21,675.5,626.08,639.3,"35,796,900"
17-Jun-22,640.3,662.91,639.59,650.28,"30,880,590"
21-Jun-22,673.81,730.73,673,711.11,"40,930,985"
22-Jun-22,703.51,740.5,701.48,708.26,"33,842,420"
23-Jun-22,713.72,717.95,685.91,705.21,"34,734,226"
24-Jun-22,712.41,738.2,708.26,737.12,"31,923,565"
27-Jun-22,748.1,756.21,727.7,734.76,"29,726,104"
28-Jun-22,733.45,749.91,697.03,697.99,"30,222,167"
29-Jun-22,691.5,693.52,666.82,685.47,"27,632,418"
30-Jun-22,673.53,688.37,656.59,673.42,"31,533,484"
1-Jul-22,681,690.69,666.36,681.79,"24,820,148"
5-Jul-22,669,699.44,648.5,699.2,"28,259,704"
6-Jul-22,692.34,703.69,681.56,695.2,"23,951,210"
7-Jul-22,701.76,736.09,696.63,733.63,"27,310,230"
8-Jul-22,727,764.94,723.48,752.29,"33,951,362"
11-Jul-22,756.31,759.19,700.88,703.03,"33,169,740"
12-Jul-22,710.54,719.32,685.11,699.21,"29,310,320"
13-Jul-22,676.5,726.18,675.1,711.12,"32,651,499"
14-Jul-22,704.69,715.96,688,714.94,"26,185,833"
15-Jul-22,720,730.87,710.67,720.2,"23,227,673"
18-Jul-22,734.81,751.55,718.81,721.64,"27,512,476"
19-Jul-22,735,741.42,710.93,736.59,"26,963,370"
20-Jul-22,740.35,751.99,730.45,742.5,"29,621,363"
21-Jul-22,765.32,819.8,764.6,815.12,"47,344,059"
22-Jul-22,828.66,842.36,812.14,816.73,"34,490,949"
25-Jul-22,816.65,822.44,802.2,805.3,"21,357,835"
26-Jul-22,799.54,801.93,768.79,776.58,"22,273,586"
27-Jul-22,791.43,827.78,785.37,824.46,"29,369,996"
28-Jul-22,840.2,849.9,818.4,842.7,"28,240,997"
29-Jul-22,842.1,894.96,837.3,891.45,"31,770,961"
1-Aug-22,903.83,935.63,885,891.83,"39,014,296"
2-Aug-22,882.01,923.5,878,901.76,"31,859,156"
3-Aug-22,915,928.65,903.45,922.19,"26,697,035"
4-Aug-22,933,940.82,915,925.9,"24,085,439"
5-Aug-22,908.01,913.82,856.63,864.51,"37,724,299"
